Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
255051		0.508973		0.509559		0.508387		0.5		0.5		0.5		0.982054
255053		0.527176		0.529031		0.525319		0.5		0.5		0.5		0.945648
255055		0.558627		0.562413		0.554827		0.5		0.5		0.5		0.882747
255056		0.560409		0.563913		0.556894		0.5		0.5		0.5		0.879181
255057		0.529482		0.531201		0.52776		0.5		0.5		0.5		0.941036
255058		0.517721		0.518875		0.516566		0.5		0.5		0.5		0.964558
255060		0.518703		0.519934		0.517472		0.5		0.5		0.5		0.962593
255061		0.51325		0.514051		0.512455		0.5		0.5		0.5		0.973501
255062		0.508488		0.509132		0.507845		0.5		0.5		0.5		0.983023
255063		0.511095		0.511936		0.510253		0.5		0.5		0.5		0.977811
255065		0.506894		0.50729		0.506498		0.5		0.5		0.5		0.986212
255066		0.508037		0.508553		0.50752		0.5		0.5		0.5		0.983927
255067		0.526879		0.528624		0.525131		0.5		0.5		0.5		0.946242
255068		0.52117		0.52256		0.519779		0.5		0.5		0.5		0.957659
255069		0.507052		0.50759		0.506514		0.5		0.5		0.5		0.985896
255071		0.51051		0.511223		0.509797		0.5		0.5		0.5		0.978980
255072		0.519646		0.520934		0.518356		0.5		0.5		0.5		0.960709
255074		0.540378		0.542936		0.537815		0.5		0.5		0.5		0.919244
255075		0.523048		0.52459		0.521505		0.5		0.5		0.5		0.953903
255076		0.509942		0.510713		0.509172		0.5		0.5		0.5		0.980115
255077		0.52087		0.522236		0.519503		0.5		0.5		0.5		0.958260
255078		0.52568		0.527256		0.524102		0.5		0.5		0.5		0.948640
255079		0.50153		0.501629		0.501432		0.5		0.5		0.5		0.996940
255081		0.545643		0.548856		0.542421		0.5		0.5		0.5		0.908714
255082		0.542545		0.545243		0.539841		0.5		0.5		0.5		0.914910
255083		0.508156		0.50878		0.507532		0.5		0.5		0.5		0.983688
255084		0.512233		0.513054		0.511412		0.5		0.5		0.5		0.975534
255085		0.506929		0.507379		0.50648		0.5		0.5		0.5		0.986141
255086		0.514395		0.515303		0.513487		0.5		0.5		0.5		0.971210
255089		0.513517		0.514458		0.512576		0.5		0.5		0.5		0.972966
255090		0.534594		0.536863		0.532322		0.5		0.5		0.5		0.930811
255091		0.522621		0.524012		0.521228		0.5		0.5		0.5		0.954759
255092		0.526824		0.528337		0.525309		0.5		0.5		0.5		0.946353
255095		0.522961		0.524583		0.521338		0.5		0.5		0.5		0.954077
255097		0.521741		0.523258		0.520223		0.5		0.5		0.5		0.956517
255098		0.512474		0.513424		0.511522		0.5		0.5		0.5		0.975053
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254616		0.652702		0.664477		0.640675		0.5		0.5		0.5		0.694596
254624		0.726633		0.737258		0.71568		0.5		0.5		0.5		0.546733
254640		0.587125		0.591698		0.582527		0.5		0.5		0.5		0.825749
254642		0.602246		0.608539		0.595904		0.5		0.5		0.5		0.795508
254664		0.697906		0.707506		0.687701		0.5		0.5		0.5		0.604188
254668		0.758634		0.758196		0.759079		0.439927		0.418322		0.462025		0.393621
254689		0.514811		0.51571		0.513911		0.5		0.5		0.5		0.970379
254692		0.539141		0.541638		0.536639		0.5		0.5		0.5		0.921718
254713		0.514121		0.515215		0.513027		0.5		0.5		0.5		0.971757
254728		0.527371		0.529178		0.525563		0.5		0.5		0.5		0.945257
254730		0.515985		0.516972		0.514998		0.5		0.5		0.5		0.968030
254732		0.514119		0.515003		0.513234		0.5		0.5		0.5		0.971762
